Time (s),CH1_Voltage (V),CH2_Voltage (V),CH3_Voltage (V),CH4_Voltage (V)
0.0,-376.0,-284.0,-206.0,-106.0
0.001,-376.0,-284.0,-206.0,-106.0
0.002,-376.0,-284.0,-206.0,-106.0
0.003,-376.0,-284.0,-206.0,-106.0
0.004,-376.0,-284.0,-206.0,-106.0
0.005,-376.0,-284.0,-206.0,-106.0
0.006,-376.0,-284.0,-206.0,-106.0
0.007,-376.0,-284.0,-206.0,-106.0
0.008,-376.0,-284.0,-206.0,-106.0
0.009000000000000001,-376.0,-284.0,-206.0,-106.0
0.01,-376.0,-284.0,-206.0,-106.0
0.011,-376.0,-284.0,-206.0,-106.0
0.012,-376.0,-284.0,-206.0,-106.0
0.013000000000000001,-376.0,-284.0,-206.0,-106.0
0.014,-376.0,-284.0,-206.0,-106.0
0.015,-376.0,-284.0,-206.0,-106.0
0.016,-376.0,-284.0,-206.0,-106.0
0.017,-376.0,-284.0,-206.0,-106.0
0.018000000000000002,-376.0,-284.0,-206.0,-106.0
0.019,-376.0,-284.0,-206.0,-106.0
0.02,-376.0,-284.0,-206.0,-106.0
0.021,-376.0,-284.0,-206.0,-106.0
0.022,-376.0,-284.0,-206.0,-106.0
0.023,-376.0,-284.0,-206.0,-106.0
0.024,-376.0,-284.0,-206.0,-106.0
0.025,-376.0,-284.0,-206.0,-106.0
0.026000000000000002,-376.0,-284.0,-206.0,-106.0
0.027,-376.0,-284.0,-206.0,-106.0
0.028,-376.0,-284.0,-206.0,-106.0
0.029,-376.0,-284.0,-206.0,-106.0
0.03,-376.0,-284.0,-206.0,-106.0
0.031,-376.0,-284.0,-206.0,-106.0
0.032,-376.0,-284.0,-206.0,-106.0
0.033,-376.0,-284.0,-206.0,-106.0
0.034,-376.0,-284.0,-206.0,-106.0
0.035,-376.0,-284.0,-206.0,-106.0
0.036000000000000004,-376.0,-284.0,-206.0,-106.0
0.037,-376.0,-284.0,-206.0,-106.0
0.038,-376.0,-284.0,-206.0,-106.0
0.039,-376.0,-284.0,-206.0,-106.0
0.04,-376.0,-284.0,-206.0,-106.0
0.041,-376.0,-284.0,-206.0,-106.0
0.042,-376.0,-284.0,-206.0,-106.0
0.043000000000000003,-376.0,-284.0,-206.0,-106.0
0.044,-376.0,-284.0,-206.0,-106.0
0.045,-376.0,-284.0,-206.0,-106.0
0.046,-376.0,-284.0,-206.0,-106.0
0.047,-376.0,-284.0,-206.0,-106.0
0.048,-376.0,-284.0,-206.0,-106.0
0.049,-376.0,-284.0,-206.0,-106.0
0.05,-376.0,-284.0,-206.0,-106.0
0.051000000000000004,-376.0,-284.0,-206.0,-106.0
0.052000000000000005,-376.0,-284.0,-206.0,-106.0
0.053,-376.0,-284.0,-206.0,-106.0
0.054,-376.0,-284.0,-206.0,-106.0
0.055,-376.0,-284.0,-206.0,-106.0
0.056,-376.0,-284.0,-206.0,-106.0
0.057,-376.0,-284.0,-206.0,-106.0
0.058,-376.0,-284.0,-206.0,-106.0
0.059000000000000004,-376.0,-284.0,-206.0,-106.0
0.06,-376.0,-284.0,-206.0,-106.0
0.061,-376.0,-284.0,-206.0,-106.0
0.062,-376.0,-284.0,-206.0,-106.0
0.063,-376.0,-284.0,-206.0,-106.0
0.064,-376.0,-284.0,-206.0,-106.0
0.065,-376.0,-284.0,-206.0,-106.0
0.066,-376.0,-284.0,-206.0,-106.0
0.067,-376.0,-284.0,-206.0,-106.0
0.068,-376.0,-284.0,-206.0,-106.0
0.069,-376.0,-284.0,-206.0,-106.0
0.07,-376.0,-284.0,-206.0,-106.0
0.07100000000000001,-376.0,-284.0,-206.0,-106.0
0.07200000000000001,-376.0,-284.0,-206.0,-106.0
0.073,-376.0,-284.0,-206.0,-106.0
0.074,-376.0,-284.0,-206.0,-106.0
0.075,-376.0,-284.0,-206.0,-106.0
0.076,-376.0,-284.0,-206.0,-106.0
0.077,-376.0,-284.0,-206.0,-106.0
0.078,-376.0,-284.0,-206.0,-106.0
0.079,-376.0,-284.0,-206.0,-106.0
0.08,-376.0,-284.0,-206.0,-106.0
0.081,-376.0,-284.0,-206.0,-106.0
0.082,-376.0,-284.0,-206.0,-106.0
0.083,-376.0,-284.0,-206.0,-106.0
0.084,-376.0,-284.0,-206.0,-106.0
0.085,-376.0,-284.0,-206.0,-106.0
0.08600000000000001,-376.0,-284.0,-206.0,-106.0
0.08700000000000001,-376.0,-284.0,-206.0,-106.0
0.088,-376.0,-284.0,-206.0,-106.0
0.089,-376.0,-284.0,-206.0,-106.0
0.09,-376.0,-284.0,-206.0,-106.0
0.091,-376.0,-284.0,-206.0,-106.0
0.092,-376.0,-284.0,-206.0,-106.0
0.093,-376.0,-284.0,-206.0,-106.0
0.094,-376.0,-284.0,-206.0,-106.0
0.095,-376.0,-284.0,-206.0,-106.0
0.096,-376.0,-284.0,-206.0,-106.0
0.097,-376.0,-284.0,-206.0,-106.0
0.098,-376.0,-284.0,-206.0,-106.0
0.099,-376.0,-284.0,-206.0,-106.0
0.1,-376.0,-284.0,-206.0,-106.0
0.101,-376.0,-284.0,-206.0,-106.0
0.10200000000000001,-376.0,-284.0,-206.0,-106.0
0.10300000000000001,-376.0,-284.0,-206.0,-106.0
0.10400000000000001,-376.0,-284.0,-206.0,-106.0
0.105,-376.0,-284.0,-206.0,-106.0
0.106,-376.0,-284.0,-206.0,-106.0
0.107,-376.0,-284.0,-206.0,-106.0
0.108,-376.0,-284.0,-206.0,-106.0
0.109,-376.0,-284.0,-206.0,-106.0
0.11,-376.0,-284.0,-206.0,-106.0
0.111,-376.0,-284.0,-206.0,-106.0
0.112,-376.0,-284.0,-206.0,-106.0
0.113,-376.0,-284.0,-206.0,-106.0
0.114,-376.0,-284.0,-206.0,-106.0
0.115,-376.0,-284.0,-206.0,-106.0
0.116,-376.0,-284.0,-206.0,-106.0
0.117,-376.0,-284.0,-206.0,-106.0
0.11800000000000001,-376.0,-284.0,-206.0,-106.0
0.11900000000000001,-376.0,-284.0,-206.0,-106.0
0.12,-376.0,-284.0,-206.0,-106.0
0.121,-376.0,-284.0,-206.0,-106.0
0.122,-376.0,-284.0,-206.0,-106.0
0.123,-376.0,-284.0,-206.0,-106.0
0.124,-376.0,-284.0,-206.0,-106.0
0.125,-376.0,-284.0,-206.0,-106.0
0.126,-376.0,-284.0,-206.0,-106.0
0.127,-376.0,-284.0,-206.0,-106.0
0.128,-376.0,-284.0,-206.0,-106.0
0.129,-376.0,-284.0,-206.0,-106.0
0.13,-376.0,-284.0,-206.0,-106.0
0.131,-376.0,-284.0,-206.0,-106.0
0.132,-376.0,-284.0,-206.0,-106.0
0.133,-376.0,-284.0,-206.0,-106.0
0.134,-376.0,-284.0,-206.0,-106.0
0.135,-376.0,-284.0,-206.0,-106.0
0.136,-376.0,-284.0,-206.0,-106.0
0.137,-376.0,-284.0,-206.0,-106.0
0.138,-376.0,-284.0,-206.0,-106.0
0.139,-376.0,-284.0,-206.0,-106.0
0.14,-376.0,-284.0,-206.0,-106.0
0.14100000000000001,-376.0,-284.0,-206.0,-106.0
0.14200000000000002,-376.0,-284.0,-206.0,-106.0
0.14300000000000002,-376.0,-284.0,-206.0,-106.0
0.14400000000000002,-376.0,-284.0,-206.0,-106.0
0.145,-376.0,-284.0,-206.0,-106.0
0.146,-376.0,-284.0,-206.0,-106.0
0.147,-376.0,-284.0,-206.0,-106.0
0.148,-376.0,-284.0,-206.0,-106.0
0.149,-376.0,-284.0,-206.0,-106.0
0.15,-376.0,-284.0,-206.0,-106.0
0.151,-376.0,-284.0,-206.0,-106.0
0.152,-376.0,-284.0,-206.0,-106.0
0.153,-376.0,-284.0,-206.0,-106.0
0.154,-376.0,-284.0,-206.0,-106.0
0.155,-376.0,-284.0,-206.0,-106.0
0.156,-376.0,-284.0,-206.0,-106.0
0.157,-376.0,-284.0,-206.0,-106.0
0.158,-376.0,-284.0,-206.0,-106.0
0.159,-376.0,-284.0,-206.0,-106.0
0.16,-376.0,-284.0,-206.0,-106.0
0.161,-376.0,-284.0,-206.0,-106.0
0.162,-376.0,-284.0,-206.0,-106.0
0.163,-376.0,-284.0,-206.0,-106.0
0.164,50.0,0.0,-206.0,-106.0
0.165,50.0,0.0,-206.0,-106.0
0.166,50.0,0.0,-206.0,-106.0
0.167,50.0,0.0,-206.0,-106.0
0.168,50.0,2.0,-206.0,-106.0
0.169,50.0,0.0,-206.0,-106.0
0.17,50.0,0.0,-206.0,-106.0
0.171,50.0,0.0,-206.0,-106.0
0.17200000000000001,50.0,0.0,0.0,2.0
0.17300000000000001,50.0,0.0,0.0,2.0
0.17400000000000002,50.0,0.0,0.0,2.0
0.17500000000000002,50.0,0.0,0.0,2.0
0.176,50.0,0.0,0.0,2.0
0.177,50.0,0.0,0.0,2.0
0.178,50.0,0.0,0.0,2.0
0.179,50.0,0.0,0.0,2.0
0.18,50.0,0.0,0.0,2.0
0.181,50.0,0.0,0.0,2.0
0.182,50.0,0.0,0.0,2.0
0.183,50.0,0.0,2.0,2.0
0.184,50.0,0.0,0.0,2.0
0.185,50.0,0.0,0.0,2.0
0.186,50.0,0.0,0.0,2.0
0.187,50.0,0.0,0.0,2.0
0.188,0.0,0.0,0.0,0.0
0.189,0.0,2.0,0.0,2.0
0.19,0.0,0.0,0.0,0.0
0.191,0.0,0.0,0.0,2.0
0.192,0.0,0.0,0.0,2.0
0.193,0.0,0.0,0.0,2.0
0.194,0.0,0.0,0.0,2.0
0.195,0.0,0.0,0.0,2.0
0.196,0.0,0.0,0.0,2.0
0.197,2.0,0.0,0.0,2.0
0.198,0.0,0.0,0.0,0.0
0.199,0.0,0.0,0.0,2.0
0.2,0.0,0.0,0.0,2.0
0.201,0.0,34.0,0.0,2.0
0.202,0.0,34.0,0.0,2.0
0.203,0.0,32.0,0.0,2.0
0.20400000000000001,0.0,32.0,0.0,2.0
0.20500000000000002,0.0,32.0,0.0,2.0
0.20600000000000002,0.0,32.0,0.0,2.0
0.20700000000000002,0.0,32.0,0.0,2.0
0.20800000000000002,0.0,32.0,0.0,2.0
0.209,0.0,32.0,0.0,34.0
0.21,2.0,32.0,0.0,34.0
0.211,0.0,32.0,0.0,34.0
0.212,0.0,32.0,0.0,34.0
0.213,0.0,34.0,0.0,34.0
0.214,0.0,32.0,0.0,34.0
0.215,0.0,32.0,0.0,34.0
0.216,0.0,32.0,2.0,34.0
0.217,2.0,32.0,0.0,34.0
0.218,0.0,32.0,0.0,34.0
0.219,0.0,32.0,0.0,34.0
0.22,0.0,34.0,0.0,34.0
0.221,0.0,32.0,0.0,32.0
0.222,0.0,32.0,2.0,36.0
0.223,0.0,32.0,0.0,36.0
0.224,0.0,32.0,0.0,34.0
0.225,0.0,34.0,0.0,34.0
0.226,0.0,32.0,0.0,34.0
0.227,0.0,32.0,0.0,36.0
0.228,0.0,32.0,0.0,34.0
0.229,0.0,32.0,0.0,34.0
0.23,2.0,32.0,0.0,34.0
0.231,0.0,32.0,0.0,34.0
0.232,0.0,32.0,0.0,34.0
0.233,0.0,34.0,0.0,34.0
0.234,0.0,32.0,0.0,34.0
0.23500000000000001,0.0,32.0,0.0,34.0
0.23600000000000002,0.0,32.0,0.0,36.0
